n,accuracy,cov,mean,lik
4,87.719298245614,"    @covRQard","{    @meanSum, {    @meanLinear,     @meanConst}}","{    @likIntervalLogistic, 15}"
5,82.9824561403509,"    @covSEard","{    @meanSum, {    @meanLinear,     @meanConst}}","{    @likIntervalLogistic, 20}"
6,81.9298245614035,"{    @covMaternard, 5}","{    @meanSum, {    @meanLinear,     @meanConst}}","{    @likIntervalLogistic, 20}"
7,84.3859649122807,"    @covSEard","{    @meanSum, {    @meanLinear,     @meanConst}}","{    @likIntervalLogistic, 15}"
8,81.0526315789474,"    @covRQard","{    @meanSum, {    @meanLinear,     @meanConst}}","{    @likIntervalLogistic, 20}"
9,86.4912280701754,"    @covRQard","{    @meanSum, {    @meanLinear,     @meanConst}}","{    @likIntervalLogistic, 10}"
10,83.859649122807,"{    @covMaternard, 5}","{    @meanSum, {    @meanLinear,     @meanConst}}","{    @likIntervalLogistic, 15}"
11,85.6140350877193,"    @covRQard","{    @meanSum, {    @meanLinear,     @meanConst}}","{    @likIntervalLogistic, 15}"
12,84.9122807017544,"{    @covMaternard, 5}","{    @meanSum, {    @meanLinear,     @meanConst}}","{    @likIntervalLogistic, 15}"
13,84.5614035087719,"{    @covMaternard, 5}","{    @meanSum, {    @meanLinear,     @meanConst}}","{    @likIntervalLogistic, 15}"
14,95.7894736842105,"    @covSEard","{    @meanSum, {    @meanLinear,     @meanConst}}","{    @likIntervalLogistic, 15}"
15,95.7894736842105,"    @covSEard","{    @meanSum, {    @meanLinear,     @meanConst}}","{    @likIntervalLogistic, 10}"
16,96.140350877193,"    @covRQard","{    @meanSum, {    @meanLinear,     @meanConst}}","{    @likIntervalLogistic, 20}"
17,95.7894736842105,"    @covSEard","{    @meanSum, {    @meanLinear,     @meanConst}}","{    @likIntervalLogistic, 10}"
18,95.6140350877193,"    @covSEard","    @meanZero","{    @likIntervalLogistic, 10}"
19,95.7894736842105,"    @covSEard","    @meanZero","{    @likIntervalLogistic, 10}"
20,95.7894736842105,"    @covSEard","    @meanZero","{    @likIntervalLogistic, 10}"
21,95.7894736842105,"    @covSEard","    @meanZero","{    @likIntervalLogistic, 20}"
22,95.7894736842105,"    @covSEard","    @meanZero","{    @likIntervalLogistic, 10}"
23,95.7894736842105,"    @covSEard","    @meanZero","{    @likIntervalLogistic, 10}"
24,95.6140350877193,"    @covSEard","{    @meanSum, {    @meanLinear,     @meanConst}}","{    @likIntervalLogistic, 20}"
25,95.9649122807018,"    @covRQard","{    @meanSum, {    @meanLinear,     @meanConst}}","{    @likIntervalLogistic, 20}"
26,95.6140350877193,"{    @covMaternard, 5}","    @meanZero","{    @likIntervalLogistic, 10}"
27,95.9649122807018,"{    @covMaternard, 5}","{    @meanSum, {    @meanLinear,     @meanConst}}","{    @likIntervalLogistic, 20}"
28,95.7894736842105,"{    @covMaternard, 5}","    @meanConst","{    @likIntervalLogistic, 10}"
29,96.140350877193,"    @covSEard","{    @meanSum, {    @meanLinear,     @meanConst}}","{    @likIntervalLogistic, 20}"
30,95.9649122807018,"{    @covMaternard, 5}","    @meanZero","{    @likIntervalLogistic, 10}"
31,96.3157894736842,"    @covSEard","    @meanZero","{    @likIntervalLogistic, 10}"
32,96.3157894736842,"    @covSEard","    @meanZero","{    @likIntervalLogistic, 10}"
33,96.3157894736842,"    @covSEard","    @meanZero","{    @likIntervalLogistic, 10}"
34,96.3157894736842,"    @covSEard","    @meanZero","{    @likIntervalLogistic, 10}"
35,96.140350877193,"{    @covMaternard, 5}","    @meanZero","{    @likIntervalLogistic, 20}"
36,96.3157894736842,"    @covSEard","    @meanZero","{    @likIntervalLogistic, 10}"
37,96.3157894736842,"    @covSEard","    @meanZero","{    @likIntervalLogistic, 10}"
38,96.3157894736842,"    @covSEard","    @meanZero","{    @likIntervalLogistic, 10}"
39,96.3157894736842,"    @covSEard","    @meanZero","{    @likIntervalLogistic, 10}"
40,96.3157894736842,"    @covSEard","    @meanZero","{    @likIntervalLogistic, 10}"
41,96.3157894736842,"    @covSEard","    @meanZero","{    @likIntervalLogistic, 10}"
42,96.3157894736842,"    @covSEard","    @meanZero","{    @likIntervalLogistic, 10}"
43,96.3157894736842,"    @covSEard","    @meanZero","{    @likIntervalLogistic, 10}"
44,96.3157894736842,"    @covSEard","    @meanZero","{    @likIntervalLogistic, 10}"
45,96.3157894736842,"    @covSEard","    @meanZero","{    @likIntervalLogistic, 10}"
46,96.3157894736842,"    @covSEard","    @meanZero","{    @likIntervalLogistic, 10}"
47,96.3157894736842,"    @covSEard","    @meanZero","{    @likIntervalLogistic, 10}"
48,96.3157894736842,"    @covSEard","    @meanZero","{    @likIntervalLogistic, 10}"
49,96.3157894736842,"    @covSEard","    @meanZero","{    @likIntervalLogistic, 10}"
50,96.3157894736842,"    @covSEard","    @meanZero","{    @likIntervalLogistic, 10}"
51,96.3157894736842,"    @covSEard","    @meanZero","{    @likIntervalLogistic, 10}"
52,96.3157894736842,"    @covSEard","    @meanZero","{    @likIntervalLogistic, 10}"
53,96.3157894736842,"    @covSEard","    @meanZero","{    @likIntervalLogistic, 10}"
54,96.3157894736842,"    @covSEard","    @meanZero","{    @likIntervalLogistic, 10}"
55,96.3157894736842,"    @covSEard","    @meanZero","{    @likIntervalLogistic, 10}"
56,96.3157894736842,"    @covSEard","    @meanZero","{    @likIntervalLogistic, 10}"
